Kirsi Ferin,1
Klemola Kimmo,1
Tiina Sinkkonen eduskuntaan Uudeltamaalta,1
Folke Pahlman,1
Lotta Ahola,1
Åsa Gustafsson,1
Gustav Fridolin,1
Tommi Mäki,1
Tiina Wesslin - Ehdolla eduskuntaan,1
"Aku Autio, eduskuntavaaliehdokas",1
Maija Rautavaara,1
Oskari Valtola,1
Vahideh Fana - kansanedustajaehdokas,1
Henna Salo 70 Vihreät - De Gröna,1
Pasi Mustonen kansanedustajaksi,1
Anna-Kristiina Mikkonen,1
Savo-Karjalan Sosialidemokraatit,1
Tomi Nieminen,1
Hanna-Marilla Zidan,1
"Eero Reijonen, kansanedustaja",1
Ulf Stenman,1
Kaisa Korhonen - rohkeus muuttaa maailmaa,1
Hämeen Vihreät,1
Sallamaarit Markkanen,1
Olli-Pekka Aalto,1
Centerpartiet,1
Tuula Haatainen,1
Henri Ylijoki,1
Helena Lehkonen - Kokoomus,1
Poliitikko Lauri Vihervä,1
Olavi Ala-Nissilä Pelintekijä,1
Kuopion Vihreät,1
Kansanedustaja Merja Mäkisalo-Ropponen,1
Kansanedustajaehdokas Jari Nahkanen,1
Miljöpartiet de gröna,1
Åsa Gustafsson eduskuntavaaliehdokas,1
Sofia Vikman,1
Teija Savolainen-Lipponen Eduskuntaan 2019,1
"Kimmo Ihalainen, Savo Sydämessä",1
Helsingin Kokoomusyrittäjät ry,1
Miina-Anniina Heiskanen,1
Naantalin vihreät,1
Eveliina Eronen,1
Ari Toropainen Eduskuntaan 2019,1
Merja Kyllönen,1
"Paul ""Pale"" Taimitarha",1
Perussuomalaiset Nuoret,1
Vesa Riekki,1
Juha Paulus Tepsa,1
"Anne Aholainen, SDP",1
Satu Taavitsainen,1
"Nina Rasola, kansanedustajaehdokas",1
Carina Läntinen - poliitikko,1
Suomen Perusta -ajatuspaja,1
Satakunnan Perussuomalaiset,1
Maria-Riitta Mällinen,1
Tytti Hyytiä,1
Poliitikko Tiina Tasmuth,1
Eve Rämö,1
Mia Laiho,1
Best For Britain,1
Sakari Aalto- Vihreät,1
Rehtiliike,1
Helsingin Kokoomus ry,1
Elizabeth Warren,1
Anne Niemi eduskuntaan,1
Senni Martikainen,1
"HYYn Vihreät, De Gröna vid HUS,  Helsinki University Greens",1
Kristian Sheikki Laakso Eduskuntaan 2019,1
"Ville Nissi, kansanedustajaehdokas",1
Uudenmaan Sosialidemokraatit,1
Teemu Soini - Liike Nyt,1
"Eero Pirttijärvi, poliitikko",1
Kati Partanen Eduskuntaan,1
Ding Ma,1
Ay-vasemmisto,1
Samuel Sylf,1
Iso Vihreä Mies,1
Eva-Lena Gästrin,1
Sara Tuisku,1
Vilhelm Junnila eduskuntaan,1
Shennandoah Beaumont - SKP - sitoutumaton,1
Annika Saarikko,1
Johanna Ikävalko - Tietäen ja tuntien,1
Marko Heinonen,1
Petteri Salmijärvi,1
"Janne Aso, Ihmisen puolella",1
Ville Karinen,1
Antero Vartia,1
Turun Kokoomus,1
Leena Kostiainen,1
Johanna Karimäki,1
Veronica Kalhori eduskuntaan Uudeltamaalta - 302,1
